	Point 2 (Reference Step: 0)		Point 2 (Reference Step: 0)	
Step No.	x Displacement	Uncertainty of x Displacement	y Displacement	Uncertainty of y Displacement
	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm
120	-0.937105	0.00274998	8.33748	0.00189807
121	-0.937277	0.00270948	8.33908	0.00187976
122	-0.938248	0.00269628	8.3446	0.00185812
123	-0.936914	0.00274861	8.34763	0.00189388
124	-0.938662	0.00280588	8.34857	0.00192041
125	-0.938712	0.00275344	8.35542	0.00189584
126	-0.938605	0.00274459	8.35885	0.00188415
127	-0.937284	0.00265692	8.36214	0.00183459
128	-0.941693	0.00285245	8.36558	0.00195274
129	-0.939678	0.00283932	8.36932	0.00194036
130	-0.940808	0.00279806	8.37616	0.00191881
131	-0.941541	0.00288206	8.3788	0.0019688
132	-0.941806	0.00291304	8.38241	0.00198812
133	-0.943144	0.00288409	8.38801	0.00196734
134	-0.9435	0.00300074	8.39107	0.002032
135	-0.944912	0.00296125	8.39415	0.00200341
136	-0.944281	0.00301651	8.39788	0.00204413
137	-0.943975	0.00306829	8.40033	0.00206802
138	-0.946801	0.00313816	8.40397	0.00210935
139	-0.945693	0.00305613	8.40941	0.00207195
140	-0.949017	0.00298506	8.40884	0.00203258
141	-0.946991	0.00308008	8.41647	0.00208141
142	-0.947753	0.00297725	8.41601	0.00202209
143	-0.949781	0.00319145	8.42023	0.00214789
144	-0.950436	0.00300009	8.42101	0.002038
145	-0.950084	0.00294967	8.42572	0.00201355
146	-0.950356	0.00299812	8.42862	0.0020447
147	-0.950804	0.00297863	8.43196	0.00202277
148	-0.950924	0.00290803	8.43554	0.00199336
149	-0.953165	0.00299567	8.43424	0.00204187
150	-0.954052	0.00301264	8.44171	0.00204843
151	-0.953664	0.00289661	8.43978	0.00198605
152	-0.952998	0.00291467	8.44683	0.00199388
153	-0.954112	0.00278424	8.44568	0.00192306
154	-0.955052	0.00289106	8.45208	0.00198578
155	-0.95578	0.00280451	8.44973	0.00193781
156	-0.955562	0.00284636	8.45568	0.00195913
157	-0.955299	0.0028963	8.45759	0.00197947
158	-0.955789	0.00287296	8.46087	0.00196709
159	-0.957973	0.00288066	8.46298	0.00197249
160	-0.958166	0.00289828	8.46658	0.00197913
161	-0.957306	0.00289462	8.46662	0.00198241
162	-1.0368	0.00266501	8.83335	0.00186228
163	-1.63993	0.00291316	11.5246	0.00207269
164	-2.28506	0.00268765	13.8559	0.00199925
165	-2.67749	0.00269402	15.1052	0.00204782
166	-2.92815	0.00266659	15.8522	0.00205945
167	-3.0848	0.0027774	16.3159	0.0021409
168	-3.18754	0.00273254	16.6063	0.00212132
169	-3.25333	0.00299088	16.7953	0.00225712
170	-3.30419	0.00261967	16.9243	0.0020513
171	-3.33791	0.00266489	17.0138	0.00209812
172	-3.35846	0.00270944	17.0799	0.00210343
173	-3.37732	0.00273793	17.1331	0.00214084
174	-3.39211	0.0028294	17.1723	0.00219273
175	-3.40234	0.00280499	17.2011	0.00218072
176	-3.37407	0.00271193	17.1322	0.00212433
177	-3.34234	0.00257947	17.0432	0.00202554
178	-3.31368	0.00274263	16.9688	0.00213791
179	-3.29517	0.00274849	16.9173	0.00213319
180	-3.27843	0.0027973	16.8801	0.0021767
181	-3.26621	0.00283225	16.8545	0.00219017
182	-3.25874	0.00281131	16.8412	0.00216785
183	-3.25615	0.00276735	16.8328	0.00213415
184	-3.25653	0.00283636	16.8321	0.00219551
185	-3.25606	0.00281854	16.8344	0.00216269
186	-3.25866	0.00282779	16.8372	0.00217579
187	-3.26129	0.00288853	16.8486	0.00222619
188	-3.26631	0.00266131	16.8489	0.00208116
189	-3.26913	0.0027745	16.8577	0.00216096
