	Point 2 (Reference Step: 0)		Point 2 (Reference Step: 0)	
Step No.	x Displacement	Uncertainty of x Displacement	y Displacement	Uncertainty of y Displacement
	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm
0	0	0.00069148	0	0.000173372
1	0.000692942	0.00114223	0.000154895	0.00062484
2	0.000120817	0.0012154	0.000765734	0.000675677
3	0.00127469	0.00113059	0.00120027	0.000615748
4	0.0012352	0.00112649	0.00114316	0.000614027
5	0.00150852	0.00118675	0.00194401	0.000659362
6	0.00194473	0.0011744	0.000929076	0.000648082
7	-0.000359268	0.00115316	0.00270557	0.000630952
8	0.000175366	0.00116104	0.00174211	0.000638097
9	0.000692	0.00123779	0.00279168	0.000692328
10	0.000660594	0.00115948	0.00341932	0.000638257
11	0.000244989	0.00125196	0.00540519	0.000702515
12	0.00144224	0.00115762	0.00403722	0.000634789
13	-0.000703877	0.00125686	0.00644549	0.000700294
14	0.000377615	0.00121803	0.00807214	0.000678469
15	0.000126737	0.00134017	0.0153999	0.000760654
16	-0.0134696	0.00233165	0.211067	0.00130914
17	-0.0215046	0.00232838	0.554798	0.00128443
18	-0.0496636	0.00227405	1.04659	0.00128557
19	-0.116256	0.00222934	1.93481	0.001257
20	-0.213069	0.00258643	3.19974	0.00141289
21	-0.294318	0.00231933	3.97303	0.00129401
22	-0.393614	0.00230421	4.81613	0.00130104
23	-0.452363	0.00249453	5.27914	0.00137008
24	-0.496444	0.00252108	5.57826	0.00138924
25	-0.528156	0.00246257	5.78283	0.00136694
26	-0.546487	0.00259174	5.9233	0.00142249
27	-0.559714	0.00253037	6.01424	0.00139544
28	-0.56921	0.00251386	6.07908	0.00138479
29	-0.574375	0.00248059	6.11859	0.00137532
30	-0.580076	0.00246642	6.14986	0.00136493
31	-0.589905	0.00254502	6.23033	0.00140275
32	-0.60735	0.00263962	6.33815	0.00143054
33	-0.621728	0.0024457	6.42527	0.00135791
34	-0.630537	0.00254062	6.49541	0.00139549
35	-0.65017	0.00250969	6.60411	0.00138276
36	-0.681981	0.00256949	6.7795	0.00140962
37	-0.708864	0.0026999	6.93243	0.00145382
38	-0.7271	0.00256175	7.05862	0.00139179
39	-0.741371	0.00242565	7.15939	0.00135445
40	-0.757107	0.00260634	7.24612	0.00141205
41	-0.778199	0.00259629	7.35545	0.001415
42	-0.798301	0.00250679	7.45611	0.00137181
