	Point 1 (Reference Step: 0)		Point 1 (Reference Step: 0)		Point 2 (Reference Step: 0)		Point 2 (Reference Step: 0)	
Step No.	x Displacement	Uncertainty of x Displacement	y Displacement	Uncertainty of y Displacement	x Displacement	Uncertainty of x Displacement	y Displacement	Uncertainty of y Displacement
	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm
57	0.0104413	0.00320727	-0.0266381	0.00211013	0.00494829	0.00257554	-0.0204149	0.00173592
58	0.00952783	0.00342005	-0.0276006	0.00224301	0.00580017	0.00263355	-0.0203244	0.00177369
59	0.0119128	0.00333353	-0.0291498	0.00216546	0.00682985	0.00291734	-0.0232469	0.00194866
60	0.0126948	0.0032509	-0.029899	0.00214791	0.00626427	0.00268996	-0.0202975	0.00180392
61	0.0142239	0.00318366	-0.0311238	0.00211695	0.00741389	0.00274305	-0.0230808	0.00185347
62	0.0131468	0.00350013	-0.0343351	0.00229848	0.00641922	0.00293448	-0.0251897	0.00196379
63	0.0108155	0.0032069	-0.0283888	0.00209809	0.00762	0.00275517	-0.0204499	0.00184958
64	0.0125339	0.00336933	-0.0354143	0.00221746	0.00302626	0.00288399	-0.0261741	0.00192622
65	0.0122819	0.00335772	-0.0281853	0.002219	0.00340788	0.00262812	-0.0183958	0.00176864
66	0.0114725	0.00340809	-0.0346925	0.00226669	0.00406897	0.00312396	-0.0270183	0.00206531
67	0.013638	0.00348363	-0.0300895	0.00227419	0.00631753	0.00286768	-0.0232594	0.00191825
68	0.0120741	0.00348208	-0.0381426	0.00227324	0.00812317	0.00314214	-0.0284721	0.00207496
69	0.0137534	0.00362073	-0.035495	0.0023684	0.00764439	0.002959	-0.0265409	0.00197606
70	0.0106289	0.00348819	-0.0368083	0.00231529	0.00741625	0.00303204	-0.0275019	0.002025
71	0.0134763	0.00363402	-0.0362746	0.00235947	0.00680254	0.00304286	-0.0274507	0.00202202
72	0.0135438	0.00350653	-0.0373343	0.00232014	0.00927232	0.00304092	-0.0257673	0.00202168
73	0.0131768	0.00352049	-0.0384369	0.0023154	0.00685954	0.00317117	-0.0266269	0.00209469
74	0.0167241	0.00377251	-0.0415712	0.00245772	0.010089	0.00314796	-0.0301326	0.00209239
75	0.0129869	0.00349188	-0.0357293	0.00230782	0.00852863	0.00287023	-0.0264165	0.00192011
76	0.0124573	0.00353814	-0.0359383	0.00234444	0.00767471	0.00324343	-0.0295299	0.00214698
77	0.011432	0.00354222	-0.0310139	0.00229904	0.00654512	0.00291287	-0.0244598	0.00194658
78	0.0161536	0.0034892	-0.0373656	0.00228267	0.00826866	0.00314943	-0.0286582	0.00210243
79	0.00996126	0.00351403	-0.0349302	0.00231864	0.00774203	0.00298571	-0.0261122	0.00198896
80	0.0100346	0.00384814	-0.0366568	0.00247055	0.00558024	0.00301355	-0.0289703	0.00201741
