	Point 2 (Reference Step: 0)		Point 2 (Reference Step: 0)	
Step No.	x Displacement	Uncertainty of x Displacement	y Displacement	Uncertainty of y Displacement
	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm
122	-1.34493	0.00229273	8.93642	0.00138332
123	-1.34577	0.00223237	8.94195	0.00134581
124	-1.34688	0.00220862	8.94314	0.00133138
125	-1.34754	0.00223794	8.95018	0.00133833
126	-1.34876	0.0022239	8.94962	0.00134042
127	-1.34935	0.00219351	8.95743	0.00131435
128	-1.35114	0.00223785	8.95943	0.00134214
129	-1.35192	0.00218268	8.96221	0.0013052
130	-1.35215	0.00214553	8.96697	0.00128777
131	-1.35106	0.00220235	8.96929	0.00131431
132	-1.36327	0.00213551	9.01625	0.0012811
133	-1.41307	0.00221015	9.20994	0.00134744
134	-1.47756	0.0023062	9.46559	0.00137989
135	-1.53348	0.00215771	9.69375	0.00130687
136	-1.58398	0.00223764	9.90724	0.00133092
137	-1.6745	0.00230517	10.2529	0.00140021
138	-1.84027	0.00218056	10.8777	0.00132098
139	-2.00207	0.00232337	11.476	0.00140212
140	-2.13252	0.00210619	11.9181	0.00128664
141	-2.21732	0.0023013	12.22	0.00139787
142	-2.28156	0.00212002	12.4324	0.00128746
143	-2.37895	0.0022667	12.7407	0.00139255
144	-2.46612	0.00229562	13.0269	0.00140917
145	-2.53904	0.00215286	13.2502	0.00131863
146	-2.60251	0.00220164	13.4481	0.00134733
147	-2.72491	0.00222335	13.8227	0.00137208
148	-2.84731	0.00222131	14.1928	0.00136154
149	-2.93497	0.0021168	14.4454	0.00131952
150	-3.00529	0.0022406	14.6421	0.00137528
151	-3.07168	0.00210813	14.8302	0.00132319
152	-3.17239	0.00210564	15.1087	0.00131334
153	-3.26114	0.00214076	15.3585	0.00133849
154	-3.32705	0.0022745	15.5427	0.00140863
155	-3.3794	0.00228216	15.6906	0.00139817
156	-3.4229	0.00236314	15.8046	0.00147991
157	-3.48285	0.00213182	15.9623	0.0013145
158	-3.54049	0.00203534	16.1157	0.00128449
159	-3.59244	0.00214814	16.2486	0.00134348
160	-3.63043	0.00226126	16.35	0.00140118
161	-3.66252	0.0022248	16.4416	0.00139633
162	-3.71879	0.00229776	16.5792	0.00144531
163	-3.77203	0.00239136	16.7137	0.00147713
164	-3.81645	0.00227813	16.8245	0.00144978
165	-3.85769	0.00210566	16.9171	0.00131545
166	-3.8855	0.00232818	17.002	0.00144491
167	-3.9553	0.00205235	17.1644	0.00129531
168	-4.03064	0.00223781	17.3397	0.00142322
169	-4.08648	0.00230679	17.4949	0.00145645
170	-4.14053	0.00227111	17.6218	0.00144112
171	-4.18777	0.00224538	17.723	0.00141547
172	-4.21634	0.00216673	17.8023	0.00135616
173	-4.24801	0.00211571	17.8715	0.00135276
174	-4.26742	0.00215124	17.9257	0.00137543
175	-4.29239	0.00219928	17.9728	0.00139187
176	-4.30594	0.00230896	18.0117	0.00146559
177	-4.31488	0.00234349	18.0425	0.00146991
178	-4.32622	0.00222805	18.062	0.00140297
179	-4.33177	0.00221035	18.0735	0.00138301
180	-4.33816	0.00217784	18.0848	0.00135996
181	-4.34314	0.00218634	18.0957	0.00136888
182	-4.34931	0.00219613	18.1056	0.00138133
183	-4.35294	0.00214926	18.1177	0.00134815
184	-4.35482	0.00225908	18.1282	0.00142381
185	-4.35757	0.00226227	18.142	0.00141769
186	-4.35598	0.0022557	18.1319	0.00142619
187	-4.34225	0.00214834	18.0986	0.00134857
188	-4.32339	0.00224423	18.0658	0.00141121
189	-4.3112	0.0023465	18.0444	0.00147307
190	-4.30252	0.00228968	18.0269	0.0014508
191	-4.29744	0.00228606	18.0158	0.00146688
192	-4.29528	0.00223472	18.0051	0.00143359
193	-4.29325	0.00222337	18.0005	0.00142443
194	-4.29254	0.00225625	17.9959	0.00144211
195	-4.29113	0.00219741	17.9971	0.00141432
196	-4.29413	0.00223096	17.9971	0.00141698
197	-4.29519	0.00224595	18.0005	0.0014368
198	-4.29599	0.00225139	18.0044	0.00143992
199	-4.2965	0.00221337	18.011	0.00141226
200	-4.2992	0.00234286	18.0158	0.00149887
201	-4.30864	0.00233601	18.0394	0.00146385
202	-4.32694	0.00218146	18.0757	0.00136853
203	-4.34719	0.00217321	18.1137	0.00136708
204	-4.357	0.00227053	18.1427	0.00142823
205	-4.36563	0.00229549	18.1717	0.00145082
206	-4.37736	0.00216493	18.1931	0.00135973
207	-4.39092	0.00214721	18.2151	0.00135691
208	-4.40052	0.00207998	18.2331	0.00132943
209	-4.40473	0.00219401	18.2515	0.00140837
210	-4.40989	0.00226305	18.2628	0.00144306
211	-4.41497	0.00232434	18.2778	0.00148731
212	-4.41754	0.00230039	18.2896	0.00145764
213	-4.42117	0.00233585	18.298	0.00147191
214	-4.42692	0.00226432	18.3105	0.00142736
215	-4.43243	0.00224493	18.3191	0.00142024
216	-4.43741	0.0021859	18.3287	0.00138152
217	-4.44268	0.00219588	18.3389	0.00138834
218	-4.44877	0.00214625	18.3472	0.00135941
219	-4.45305	0.00220621	18.3567	0.00139088
220	-4.45723	0.00215053	18.3647	0.00135998
221	-4.4605	0.00217686	18.3754	0.00138181
222	-4.46374	0.00215034	18.3805	0.00136755
223	-4.46535	0.00223492	18.3897	0.00141048
224	-4.47036	0.00224851	18.3956	0.00141321
225	-4.47194	0.00222346	18.4059	0.00138932
226	-4.47562	0.00232575	18.411	0.0014524
227	-4.47637	0.00232387	18.4213	0.00145308
228	-4.47966	0.00232535	18.4264	0.00145202
229	-4.48343	0.00233085	18.4348	0.00145266
230	-4.48695	0.00228731	18.4419	0.00143488
231	-4.49002	0.00226151	18.4493	0.00142798
232	-4.49446	0.00225377	18.4558	0.00141443
233	-4.4994	0.00212891	18.4636	0.00134597
234	-4.50277	0.00212204	18.4701	0.00133296
235	-4.50576	0.00211045	18.4765	0.00134239
236	-4.51018	0.00208663	18.4846	0.00132823
237	-4.51404	0.00205576	18.4914	0.00131932
238	-4.51609	0.00203988	18.4959	0.00130332
239	-4.51719	0.00211416	18.5055	0.00134655
240	-4.52029	0.00212393	18.511	0.00136672
241	-4.52285	0.0021624	18.5178	0.00138868
242	-4.52305	0.00223378	18.5233	0.00143053
243	-4.52529	0.00220997	18.5298	0.00142278
244	-4.52689	0.0022572	18.5351	0.00144635
245	-4.52965	0.00230704	18.5405	0.00147552
246	-4.53061	0.00234027	18.5482	0.00149986
247	-4.53308	0.00233851	18.5541	0.00149134
248	-4.53697	0.00234929	18.5583	0.00148926
249	-4.5366	0.00225208	18.5664	0.00143632
250	-4.5421	0.00231039	18.5693	0.00146946
251	-4.54452	0.00231905	18.5774	0.00148392
252	-4.54762	0.00222628	18.5812	0.00142073
253	-4.5505	0.00225156	18.5891	0.001453
254	-4.55469	0.00222663	18.5929	0.00142609
255	-4.55781	0.00222176	18.6012	0.001424
256	-4.56055	0.00225751	18.6062	0.00144166
257	-4.56493	0.00216231	18.613	0.00139898
258	-4.56657	0.00224465	18.6175	0.00143182
259	-4.56925	0.00224521	18.6226	0.00143959
260	-4.57043	0.00223254	18.6294	0.0014337
261	-4.5749	0.00225883	18.6323	0.00144171
262	-4.57765	0.00233069	18.6392	0.00148011
263	-4.57841	0.00231796	18.6453	0.00147679
264	-4.58107	0.00233058	18.6499	0.00147781
265	-4.5839	0.00236094	18.6561	0.00150541
266	-4.58615	0.00241987	18.661	0.00151426
